pwsid,pwsname,pctblack,pcthisp,percpov,medianincomehouse,perctbachlocal,percthighlocal,retpopsrvd,health,logpop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV,WY,newsystem,groundw,purchasedwater,fy2011,fy2012,fy2013,lhealth
AK2110342,JUNEAU,0.7554479241371155,5.317191123962402,6.5,75517,34.70000076293945,95.30000305175781,30948,0,10.34006404876709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK2110342,JUNEAU,0.7681474685668945,5.332223892211914,6.300000190734863,77465,36.400001525878906,95.9000015258789,30948,0,10.34006404876709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK2110342,JUNEAU,0.6796054840087891,5.256669521331787,6.400000095367432,78947,35.900001525878906,95.80000305175781,30948,0,10.34006404876709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AK2110342,JUNEAU,1.1474432945251465,5.561651706695557,6.199999809265137,81490,36.70000076293945,95.5,30948,0,10.34006404876709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AK2110601,SKAGWAY,2.17391300201416,3.7137680053710938,11.199999809265137,73417,31.200000762939453,95.0999984741211,7300,0,8.8956298828125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AK2110601,SKAGWAY,0.966183602809906,1.545893669128418,8.800000190734863,73083,27.5,94.69999694824219,7300,0,8.8956298828125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
AK2110619,HAINES,0.22953328490257263,0.8416220545768738,5.5,49063,37.099998474121094,93.5,1613,1,7.38585090637207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AK2110619,HAINES,0.245338574051857,0.981354296207428,5.400000095367432,57434,35.099998474121094,95.80000305175781,1613,1,7.38585090637207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AK2110619,HAINES,0.29910269379615784,1.1465603113174438,5.699999809265137,53922,32,97.5,1613,1,7.38585090637207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AK2110619,HAINES,0.36045312881469727,1.1328526735305786,7.5,54267,28.299999237060547,97.19999694824219,1613,0,7.38585090637207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AK2120143,WRANGELL,0.8982036113739014,3.1223268508911133,8.300000190734863,50389,16.200000762939453,89.5999984741211,2300,0,7.740664482116699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AK2120143,WRANGELL,0.8924776911735535,2.252443790435791,8.800000190734863,50000,19.299999237060547,90.4000015258789,2300,0,7.740664482116699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK2120193,CRAIG PUBLIC WORKS,0,4.99627161026001,19.700000762939453,47813,23.200000762939453,92.9000015258789,1475,1,7.296413421630859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
